"Dish","Date","Dluo","Content"
"Cassoulet de canard \\ \small (avec un peu de cochon dedans)","14 février 2015","8 mars 2017", "Haricots tarbais, haricots soissons, cuisses de canard, saucisses de porc, foie gras de canard, graisse de canard, tomates. \newline Garanti sans conservateur, sans colorant, sans excipient, sans saloperie et avec que du bon dedans (et du bio) !"
"Cassoulet de canard \\ \small (avec un peu de cochon dedans)","14 février 2015","8 mars 2017", "Haricots tarbais, haricots soissons, cuisses de canard, saucisses de porc, foie gras de canard, graisse de canard, tomates. \newline Garanti sans conservateur, sans colorant, sans excipient, sans saloperie et avec que du bon dedans (et du bio) !"
